geometry/coordinates/0	geometry/coordinates/1	properties/id	properties/url	properties/city	properties/name	properties/state	properties/address	properties/provider	properties/postal_code	properties/provider_brand	properties/provider_brand_id	properties/provider_brand_name	properties/provider_location_id	properties/appointments_available	properties/appointments_available_all_doses	properties/appointments_available_2nd_dose_only	properties/appointment_types/unknown	properties/appointment_vaccine_types/moderna	properties/appointment_vaccine_types	properties/appointment_vaccine_types/jj	properties/appointment_vaccine_types/unknown
-82.43321966	27.4859793	2718764	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	1455 UPPER MANATEE RIVER RD	walgreens	34212	walgreens	47	Walgreens	9980	TRUE	FALSE	TRUE					
-82.619848	27.463071	2718724	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	5896 CORTEZ RD W	walgreens	34210	walgreens	47	Walgreens	7106	TRUE	FALSE	TRUE					
-82.545999	27.446499	2718738	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	1504 53RD AVE E	walgreens	34203	walgreens	47	Walgreens	4282	TRUE	FALSE	TRUE					
-82.57493631	27.43441512	2718734	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	6003 14TH ST W	walgreens	34207	walgreens	47	Walgreens	3963	TRUE	FALSE	TRUE					
-82.31808132	27.92438027	2718797	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRANDON	Walgreen Drug Store	FL	930 PROVIDENCE RD	walgreens	33511	walgreens	47	Walgreens	4523	TRUE	FALSE	TRUE					
-82.5028455	27.53037536	2718740	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ELLENTON	Walgreen Drug Store	FL	5945 US HIGHWAY 301 N	walgreens	34222	walgreens	47	Walgreens	6515	TRUE	FALSE	TRUE					
-82.707389	27.491399	2718710	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	HOLMES BEACH	Walgreen Drug Store	FL	3200 E BAY DR	walgreens	34217	walgreens	47	Walgreens	13850	TRUE	FALSE	TRUE					
-81.97486488	27.93903564	2718790	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	LAKELAND	Walgreen Drug Store	FL	6985 S FLORIDA AVE	walgreens	33813	walgreens	47	Walgreens	5327	TRUE	FALSE	TRUE					
-81.92311385	27.95239059	2718796	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	LAKELAND	Walgreen Drug Store	FL	6210 LAKELAND HIGHLANDS RD	walgreens	33813	walgreens	47	Walgreens	5979	TRUE	FALSE	TRUE					
-81.55646402	27.89455114	2718828	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	LAKE WALES	Walgreen Drug Store	FL	1903 STATE ROAD 60 E	walgreens	33853	walgreens	47	Walgreens	4380	TRUE	FALSE	TRUE					
-82.441128	27.390627	2718775	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	LAKEWOOD RANCH	Walgreen Drug Store	FL	8315 MARKET ST	walgreens	34202	walgreens	47	Walgreens	6135	TRUE	FALSE	TRUE					
